jobID,skillID,skillName,skillDesc,maxLevel,invisible,hyper,reqSkill,reqSkillLevel,reqLevel
000,0001000,달팽이 세마리,[마스터 레벨 : 3]\n달팽이 껍질을 던져 원거리의 적을 공격한다. ,3,False,0,,0,0
000,0001001,회복,[마스터 레벨 : 3]\n자신의 HP를 30초 동안 지속적으로 회복시킨다. \n#c재사용 대기시간 : 2분#,3,False,0,,0,0
000,0001002,민첩한 몸놀림,[마스터 레벨 : 3]\n순간적으로 빠르게 이동한다. \n#c재사용 대기시간 : 1분#,3,False,0,,0,0
000,0000109,수영의 달인,"수영 속도를 증가시키며, 수영 시 HP저하를 막을 수 있다.",1,True,0,,0,0
000,0000111,수납의 달인,"장비, 소비, 설치, 기타 인벤토리를 확장한다.",1,True,0,,0,0
000,0000112,수납의 달인,"장비, 소비, 설치, 기타 인벤토리를 확장한다.",2,True,0,,0,0
000,0001003,장인의 혼,[마스터 레벨 : 1]\n장인의 혼을 빌려 착용할 수 없는 아이템에도 주문서를 사용할 수 있다.,1,True,0,,0,0
000,0001005,영웅의 메아리,[마스터 레벨 : 1]\n주변 모든 캐릭터의 공격력과 마력을 증가시킨다. \n#c재사용 대기시간 : 2시간#,1,True,0,,0,0
000,0001007,메이커,[마스터 레벨 : 3]\n연금술을 이용해 아이템을 제작할 수 있다. 자신의 캐릭터 레벨에 따라 제작할 수 있는 아이템이 달라 진다.,3,True,0,,0,0
000,0001009,죽간천격,대나무를 사용한 공격을 한다,1,True,0,,0,0
000,0001010,금강불괴,일정 시간 동안 무적 상태가 된다.,1,True,0,,0,0
000,0001011,지화천폭,일정 시간 동안 데미지가 증가 한다.,1,True,0,,0,0
000,0000012,정령의 축복,"다른 캐릭터를 레벨 10이상 육성하면 스킬포인트 1이 증가한다. 단, 정령의 축복과 여제의 축복중 좋은 효과로 발동된다.",20,False,0,,0,0
000,0001013,스페이스 쉽,[마스터 레벨 : 2]\n우주선에 탑승한다. 탑승 중 좌우 방향키 중 하나를 두 번 연타 하여 순간적으로 이동속도와 점프력을 증가시킨다.  #c유효기간 : 2009년 6월 8일 00시#,2,True,0,,0,0
000,0001014,스페이스 대쉬,[마스터 레벨 : 1]\n좌우 방향키 중 하나를 두 번 연타 하여 순간적으로 이동속도와 점프력을 증가시킨다. #c유효기간 : 2009년 6월 8일 00시#,1,True,0,,0,0
000,0001015,스페이스 빔,[마스터 레벨 : 1]\n우주광산에 있는 크립토의 상태를 변화시킬 수 있다. #c유효기간 : 2009년 6월 8일 00시#,1,True,0,,0,0
000,0001020,파라오의 분노,[마스터 레벨 : 1]\n파라오의 분노를  이용한 공격을 한다.,1,True,0,,0,0
000,0001026,플라잉,"[마스터 레벨 : 1]\n용족의 신비한 힘을 사용해 하늘을 난다. 단, 추락시 받는 낙하 데미지가 매우 크다.\n발동할 때 MP 90 소비.",1,True,0,,0,0
000,0000073,여제의 축복,"다른 시그너스 캐릭터와 미하일 캐릭터를 레벨 5이상 육성하면 스킬포인트 1이 증가한다. 단, 정령의 축복과 여제의 축복중 높은 효과로 발동된다.\r\n다른 시그너스, 미하일 캐릭터의 고귀한 정신에 의해 마스터 레벨이 최대 30까지 확장될 수 있다. ",30,False,0,,0,0
000,0000074,여제의 강화,자신의 레벨 보다 높은 아이템을 장착할 수 있다.,1,True,0,,0,0
000,0001075,미하일의 소울 드라이버,소환된 미하일이 소울의 힘을 땅으로 스며들게 하여 다수의 적을 4번 연속 공격한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,5,True,0,,0,0
000,0001076,오즈의 플레임 기어,소환된 오즈가 일정 시간 동안 자신의 주변에 불의 장막을 친다. 장막 내에 있는 몬스터는 일정 확률로 발화 상태가 되어 도트 데미지를 입는다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,5,True,0,,0,0
000,0001077,이리나의 윈드 피어싱,소환된 이리나가 폭풍의 기운을 화살에 담아 전방을 향해 발사한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,5,True,0,,0,0
000,0001078,이카르트 뱀파이어,이카르트가 뱀파이어를 소환하여 다수의 적을 4번 공격하고 데미지의 일부를 흡수하여 HP를 회복한다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,5,True,0,,0,0
000,0001079,호크아이의 샤크 웨이브,소환된 호크아이가 상어의 기운을 전방으로 내뿜어 다수의 적에게 데미지를 준다. 특정 레벨이 오를때 마다 스킬 레벨 1을 올릴 수 있다.,5,True,0,,0,0
000,0000080,여제의 강화,자신의 레벨 보다 높은 아이템을 장착할 수 있다.,1,True,0,,0,0
000,0001085,아크 엔젤,[마스터 레벨 : 1]\n엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,1,True,0,,0,0
000,0000086,아크 엔젤릭 블레스,[마스터 레벨 : 1]\n아크 엔젤의 축복을 받았다.,1,True,0,,0,0
000,0001087,다크 엔젤,[마스터 레벨 : 1]\n다크 엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,1,True,0,,0,0
000,0000088,다크 엔젤릭 블레스,[마스터 레벨 : 1]\n다크 엔젤의 축복을 받았다.,1,True,0,,0,0
000,0001090,아크 엔젤,[마스터 레벨 : 1]\n엔젤릭 블레스에 봉인된 아크 엔젤을 소환한다.,1,True,0,,0,0
000,0000091,아크 엔젤릭 블레스,[마스터 레벨 : 1]\n아크 엔젤의 축복을 받았다.,1,True,0,,0,0
000,0001092,자이언트 비약,,1,True,0,,0,0
